datetime,sentiment,close
2025-07-31 14:45,0.5,44590.0
2025-07-31 14:50,0.0,44590.0
2025-07-31 14:51,0.0,44590.0
2025-07-31 14:52,0.0,44590.0
2025-07-31 14:53,-0.2,44590.0
2025-07-31 14:53,0.5,44590.0
2025-07-31 14:53,0.5,44590.0
2025-07-31 14:53,-0.5,44590.0
2025-07-31 14:54,0.156,44590.0
2025-07-31 14:54,0.0,44590.0
2025-07-31 15:00,0.144,44516.0
2025-07-31 15:04,0.0,44516.0
2025-07-31 15:05,0.5,44516.0
2025-07-31 15:05,0.433,44516.0
2025-07-31 15:05,0.0,44516.0
2025-07-31 15:12,0.5,44516.0
2025-07-31 15:16,0.0,44516.0
2025-07-31 15:16,0.0,44516.0
2025-07-31 15:16,0.25,44516.0
2025-07-31 15:16,-0.7,44516.0
2025-07-31 15:16,0.5,44516.0
2025-07-31 15:16,-0.7,44516.0
2025-07-31 15:16,0.0,44516.0
2025-07-31 15:16,0.5,44516.0
2025-07-31 15:17,0.6,44516.0
2025-07-31 15:20,0.136,44516.0
2025-07-31 15:24,0.5,44516.0
2025-07-31 15:27,0.0,44516.0
2025-07-31 15:28,-0.042,44516.0
2025-07-31 15:29,0.0,44516.0
2025-07-31 15:40,0.5,44625.0
