datetime,sentiment,close
2025-07-31 13:58,-0.2,6445.5
2025-07-31 14:03,0.5,6440.0
2025-07-31 14:03,1.0,6440.0
2025-07-31 14:09,0.5,6440.0
2025-07-31 14:09,0.417,6440.0
2025-07-31 14:10,0.0,6440.0
2025-07-31 14:10,0.0,6440.0
2025-07-31 14:12,0.325,6440.0
2025-07-31 14:14,0.8,6440.0
2025-07-31 14:18,0.0,6440.0
2025-07-31 14:20,0.0,6440.0
2025-07-31 14:20,0.0,6440.0
2025-07-31 14:20,0.0,6440.0
2025-07-31 14:32,0.5,6419.25
2025-07-31 14:32,0.0,6419.25
2025-07-31 14:32,0.13,6419.25
2025-07-31 14:32,0.0,6419.25
2025-07-31 14:33,1.0,6419.25
2025-07-31 14:45,0.5,6419.25
